GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test4,calculator,CalculatorGUI,245,0,0,0,46,0,3,0,3,0
test4,calculator,CalculatorGUI.new ActionListener() {...},67,0,4,0,12,0,4,0,2,0
test4,calculator,CalculatorGUI.new ActionListener() {...},75,0,6,0,14,0,5,0,2,0
test4,calculator,CalculatorGUI.new Runnable() {...},16,0,0,0,7,0,2,0,2,0
test4,calculator,CalculatorGUI.new ActionListener() {...},67,0,4,0,12,0,4,0,2,0
test4,calculator,CalculatorGUI.new ActionListener() {...},67,0,4,0,12,0,4,0,2,0
test4,calculator,Calculator,0,25,0,2,0,7,0,6,0,5
